pcode_ts,pcode_st,name_st,name_ts,candidate_name,party_name,votes
MMR001003,MMR001,Kachin,Injangyang,U Myo Han Tun,National Unity Party (NUP),6159
MMR001008,MMR001,Kachin,Mogaung,U Than Tint Aung,Shan Nationalities Democratic Party,9648
MMR001008,MMR001,Kachin,Mogaung,U Phone Swe,Union Solidarity And Development Party,29080
MMR001008,MMR001,Kachin,Mogaung,U Kyee Myint,National Unity Party (NUP),5838
MMR001007,MMR001,Kachin,Mohnyin,?Sai Win Aye (A) Sai Tun Aye,Shan Nationalities Democratic Party,16156
MMR001007,MMR001,Kachin,Mohnyin,U Jyaw Soe Lay,Union Solidarity And Development Party,34422
MMR001007,MMR001,Kachin,Mohnyin,U Tun Kyan,National Unity Party (NUP),13329
MMR001012,MMR001,Kachin,Momauk,U Yone Mu,Union Solidarity And Development Party,10551
MMR001012,MMR001,Kachin,Momauk,U Zaw Tun,Shan Nationalities Democratic Party,10715
MMR001012,MMR001,Kachin,Momauk,U Phoe Yin,National Unity Party (NUP),7113
MMR001001,MMR001,Kachin,Myitkyina,U Thein Zaw,Union Solidarity And Development Party,41920
MMR001001,MMR001,Kachin,Myitkyina,Sai Aung Kyaw Oo,Shan Nationalities Democratic Party,8610
MMR001001,MMR001,Kachin,Myitkyina,U Mar Khar,National Democratic Force,14585
MMR001001,MMR001,Kachin,Myitkyina,U La Nan Auk,National Unity Party (NUP),16498
MMR001017,MMR001,Kachin,Nawngmun,U Gyee Phone Sar,Union Solidarity And Development Party,3153
MMR001017,MMR001,Kachin,Nawngmun,U Khaw Du Teetan,National Unity Party (NUP),630
MMR001014,MMR001,Kachin,Puta-O,U Yaw Di Dwe,Union Solidarity And Development Party,20284
MMR001014,MMR001,Kachin,Puta-O,U Saw Nwe Shwe Maung,Shan Nationalities Democratic Party,1538
MMR001014,MMR001,Kachin,Puta-O,U Sar Won Phon,National Unity Party (NUP),5671
MMR001011,MMR001,Kachin,Shwegu,U Win Naing (A) U Phyu,Union Solidarity And Development Party,18631
MMR001011,MMR001,Kachin,Shwegu,U Thaung Kywe,National Unity Party (NUP),16624
MMR001015,MMR001,Kachin,Sumprabum,U Kamaing Hmon Kwan (A) U Kaman Tan,Union Solidarity And Development Party,1233
MMR001015,MMR001,Kachin,Sumprabum,U Kro La,National Unity Party (NUP),858
MMR001004,MMR001,Kachin,Tanai,U Myo Swe,Union Solidarity And Development Party,7260
MMR001004,MMR001,Kachin,Tanai,U In Bwe Htair Aung,National Unity Party (NUP),4734
MMR001004,MMR001,Kachin,Tanai,U Lin Lin Oo,Independent Candidates,569
MMR001006,MMR001,Kachin,Tsawlaw,U Zaung Khaung,Union Solidarity And Development Party,1083
MMR001006,MMR001,Kachin,Tsawlaw,U Mot Ying Daung Haung,National Unity Party (NUP),1037
MMR001002,MMR001,Kachin,Waingmaw,U Paw Lu,Unity Democracy Party of Kachin State,10663
MMR001002,MMR001,Kachin,Waingmaw,U Lar Myar Thaw,Shan Nationalities Democratic Party,10636
MMR001002,MMR001,Kachin,Waingmaw,U Yein Bawm,National Unity Party (NUP),12652
MMR002005,MMR002,Kayah,Bawlakhe,U Aye Maung,Union Solidarity And Development Party,4524
MMR002005,MMR002,Kayah,Bawlakhe,U Tun Yin,National Unity Party (NUP),449
MMR002002,MMR002,Kayah,Demoso,U Soe Yay,Union Solidarity And Development Party,26869
MMR002002,MMR002,Kayah,Demoso,U Taw Yay,National Unity Party (NUP),2873
MMR002002,MMR002,Kayah,Demoso,U Hubert Beri,Kayan National Party,5192
MMR002006,MMR002,Kayah,Hpasawng,U Ye Htut Tin,Union Solidarity And Development Party,6432
MMR002006,MMR002,Kayah,Hpasawng,U Saw Daniel,National Unity Party (NUP),249
MMR002003,MMR002,Kayah,Hpruso,U Eural (A) U Oo Yal,Union Solidarity And Development Party,7612
MMR002003,MMR002,Kayah,Hpruso,U Law Yal,National Unity Party (NUP),2536
MMR002001,MMR002,Kayah,Loikaw,U Khin Maung Nyo,Union Solidarity And Development Party,42893
MMR002001,MMR002,Kayah,Loikaw,U Sai Soe Myint,National Unity Party (NUP),15179
MMR002007,MMR002,Kayah,Mese,U Kyaw Khine Win,Union Solidarity And Development Party,2603
MMR002007,MMR002,Kayah,Mese,U Sai Shwe Tun,National Unity Party (NUP),244
MMR002004,MMR002,Kayah,Shadaw,Daw Nan Nun,Union Solidarity And Development Party,1563
MMR002004,MMR002,Kayah,Shadaw,U Mya Maung,National Unity Party (NUP),184
MMR003002,MMR003,Kayin,Hlaingbwe,Saw Thein Aung,Phalon-Sawaw Democratic Party,30540
MMR003002,MMR003,Kayin,Hlaingbwe,U Khin Maung Yin,Union Solidarity And Development Party,17955
MMR003002,MMR003,Kayin,Hlaingbwe,U Saw Han Thein,National Unity Party (NUP),8051
MMR003001,MMR003,Kayin,Hpa-An,Daw Nan Say Hwa,Phalon-Sawaw Democratic Party,45339
MMR003001,MMR003,Kayin,Hpa-An,U Saw Htar Lon,Union Solidarity And Development Party,45197
MMR003001,MMR003,Kayin,Hpa-An,U Saw Kyaw Khin Win,National Unity Party (NUP),27654
MMR003003,MMR003,Kayin,Hpapun,U Sai Than Naing,Union Solidarity And Development Party,5185
MMR003003,MMR003,Kayin,Hpapun,U Aye Thein,National Unity Party (NUP),2959
MMR003006,MMR003,Kayin,Kawkareik,Min Win Myint,All Mon Region Democracy Party,13357
MMR003006,MMR003,Kayin,Kawkareik,U Thurein Zaw,Union Solidarity And Development Party,23224
MMR003006,MMR003,Kayin,Kawkareik,U Tin Hla,National Unity Party (NUP),15749
MMR003007,MMR003,Kayin,Kyainseikgyi,U Saw Htut Kaung Lwin,Union Solidarity And Development Party,8673
MMR003007,MMR003,Kayin,Kyainseikgyi,U Saw Kyi Aye,National Unity Party (NUP),3372
MMR003005,MMR003,Kayin,Myawaddy,U Than Oo,Union Solidarity And Development Party,0
MMR003004,MMR003,Kayin,Thandaunggyi,U Saw Nay Kaw Htoo,Kayin Peopleês Party,10033
MMR003004,MMR003,Kayin,Thandaunggyi,Nan Larku,Phalon-Sawaw Democratic Party,1615
MMR003004,MMR003,Kayin,Thandaunggyi,U Saw Junas,Union Solidarity And Development Party,7923
MMR009016,MMR009,Magway,Aunglan,U Tun Aung Kyi,88 Generation Student Youths (Union Of Myanmar),83229
MMR009016,MMR009,Magway,Aunglan,U Ko Ko Tun,Union Solidarity And Development Party,83212
MMR009016,MMR009,Magway,Aunglan,U Won Phe,National Unity Party (NUP),23555
MMR009003,MMR009,Magway,Chauk,U Maung Maung Than,National Democratic Force,23080
MMR009003,MMR009,Magway,Chauk,U Thein Lwin,Union Solidarity And Development Party,59081
MMR009003,MMR009,Magway,Chauk,U Myo Myint,National Unity Party (NUP),18885
MMR009023,MMR009,Magway,Gangaw,U Than Win,Union Of Myanmar Federation Of National Politics,2677
MMR009023,MMR009,Magway,Gangaw,Dr. Kyaw Nyein,National Democratic Force,23051
MMR009023,MMR009,Magway,Gangaw,U Aung Myint,Union Solidarity And Development Party,32016
MMR009023,MMR009,Magway,Gangaw,U Myint Than,National Unity Party (NUP),10590
MMR009015,MMR009,Magway,Kamma,U Aung,National Democratic Force,14062
MMR009015,MMR009,Magway,Kamma,U Paik Htwe,Union Solidarity And Development Party,28522
MMR009015,MMR009,Magway,Kamma,U Shwe Maung,National Unity Party (NUP),5792
MMR009001,MMR009,Magway,Magway,U Zaw Min,Union Solidarity And Development Party,106900
MMR009001,MMR009,Magway,Magway,U Bo Hein (A) U Khin Maung Zin,Union Of Myanmar Federation Of National Politics,10368
MMR009001,MMR009,Magway,Magway,U Ye Htut,National Democratic Force,16258
MMR009001,MMR009,Magway,Magway,U Hla Myint,National Unity Party (NUP),21694
MMR009007,MMR009,Magway,Minbu,U Aung Ko Ko Htay,National Democratic Force,8524
MMR009007,MMR009,Magway,Minbu,U Aye Thu,Union Solidarity And Development Party,63350
